"","id","origen.x","origen.y","var.x","E_final_diagnosis_numeric_cor","E_final_diagnosis_numeric_chi","E_final_diagnosis_numeric_anova","depression_cor","depression_chi","depression_anova","euthymia_cor","euthymia_chi","euthymia_anova","hypomania_cor","hypomania_chi","hypomania_anova","mixed_cor","mixed_chi","mixed_anova","hospitalized_cor","hospitalized_chi","hospitalized_anova"
"339","CASGA","Pulsera","TargetVar","S_dur_spt_wake_IN_min",0.5016,0.4923,0,NA,NA,NA,NA,NA,NA,-0.5016,0.4923,0,0.5016,0.4923,0,NA,NA,NA
"340","CASGA","Pulsera","TargetVar","S_dur_spt_wake_LIG_min",0.3453,0.5099,5e-04,NA,NA,NA,NA,NA,NA,-0.3453,0.5099,5e-04,0.3453,0.5099,5e-04,NA,NA,NA
"341","CASGA","Pulsera","TargetVar","S_dur_spt_wake_MOD_min",0.2345,0.5224,0.0201,NA,NA,NA,NA,NA,NA,-0.2345,0.5224,0.0201,0.2345,0.5224,0.0201,NA,NA,NA
"342","CASGA","Pulsera","TargetVar","S_dur_spt_wake_VIG_min",0.1152,0.4163,0.2586,NA,NA,NA,NA,NA,NA,-0.1152,0.4163,0.2586,0.1152,0.4163,0.2586,NA,NA,NA
"343","CASGA","Pulsera","TargetVar","S_dur_day_IN_unbt_min",0.4638,0.5663,0,NA,NA,NA,NA,NA,NA,-0.4638,0.5663,0,0.4638,0.5663,0,NA,NA,NA
"344","CASGA","Pulsera","TargetVar","S_dur_day_LIG_unbt_min",0.0406,0.4241,0.6915,NA,NA,NA,NA,NA,NA,-0.0406,0.4241,0.6915,0.0406,0.4241,0.6915,NA,NA,NA
"345","CASGA","Pulsera","TargetVar","S_dur_day_MOD_unbt_min",0.2396,0.5122,0.0175,NA,NA,NA,NA,NA,NA,-0.2396,0.5122,0.0175,0.2396,0.5122,0.0175,NA,NA,NA
"346","CASGA","Pulsera","TargetVar","S_dur_day_VIG_unbt_min",0.2069,0.8632,0.041,NA,NA,NA,NA,NA,NA,-0.2069,0.8632,0.041,0.2069,0.8632,0.041,NA,NA,NA
"347","CASGA","Pulsera","TargetVar","S_dur_day_MVPA_bts_1_min",0.1931,0.5786,0.0568,NA,NA,NA,NA,NA,NA,-0.1931,0.5786,0.0568,0.1931,0.5786,0.0568,NA,NA,NA
"348","CASGA","Pulsera","TargetVar","S_dur_day_IN_bts_30_min",-0.2101,0.4525,0.0379,NA,NA,NA,NA,NA,NA,0.2101,0.4525,0.0379,-0.2101,0.4525,0.0379,NA,NA,NA
"349","CASGA","Pulsera","TargetVar","S_dur_day_IN_bts_10_30_min",0.0315,0.533,0.7585,NA,NA,NA,NA,NA,NA,-0.0315,0.533,0.7585,0.0315,0.533,0.7585,NA,NA,NA
"350","CASGA","Pulsera","TargetVar","S_dur_day_IN_bts_1_10_min",-0.1147,0.4923,0.2609,NA,NA,NA,NA,NA,NA,0.1147,0.4923,0.2609,-0.1147,0.4923,0.2609,NA,NA,NA
"351","CASGA","Pulsera","TargetVar","S_dur_day_LIG_bts_10_min",-0.2316,0.554,0.0217,NA,NA,NA,NA,NA,NA,0.2316,0.554,0.0217,-0.2316,0.554,0.0217,NA,NA,NA
"352","CASGA","Pulsera","TargetVar","S_dur_day_LIG_bts_1_10_min",0.2388,0.4923,0.0179,NA,NA,NA,NA,NA,NA,-0.2388,0.4923,0.0179,0.2388,0.4923,0.0179,NA,NA,NA
"353","CASGA","Pulsera","TargetVar","S_dur_day_total_IN_min",-0.2276,0.4525,0.0242,NA,NA,NA,NA,NA,NA,0.2276,0.4525,0.0242,-0.2276,0.4525,0.0242,NA,NA,NA
"354","CASGA","Pulsera","TargetVar","S_dur_day_total_LIG_min",-0.0958,0.4525,0.3478,NA,NA,NA,NA,NA,NA,0.0958,0.4525,0.3478,-0.0958,0.4525,0.3478,NA,NA,NA
"355","CASGA","Pulsera","TargetVar","S_dur_day_total_MOD_min",0.2514,0.403,0.0125,NA,NA,NA,NA,NA,NA,-0.2514,0.403,0.0125,0.2514,0.403,0.0125,NA,NA,NA
"356","CASGA","Pulsera","TargetVar","S_dur_day_total_VIG_min",0.2811,0.7679,0.0051,NA,NA,NA,NA,NA,NA,-0.2811,0.7679,0.0051,0.2811,0.7679,0.0051,NA,NA,NA
"357","CASGA","Pulsera","TargetVar","S_dur_day_min",-0.1863,0.4525,0.0662,NA,NA,NA,NA,NA,NA,0.1863,0.4525,0.0662,-0.1863,0.4525,0.0662,NA,NA,NA
"358","CASGA","Pulsera","TargetVar","S_dur_spt_min",0.7427,0.4525,0,NA,NA,NA,NA,NA,NA,-0.7427,0.4525,0,0.7427,0.4525,0,NA,NA,NA
"359","CASGA","Pulsera","TargetVar","S_dur_day_spt_min",0.4555,0.4865,0,NA,NA,NA,NA,NA,NA,-0.4555,0.4865,0,0.4555,0.4865,0,NA,NA,NA
"360","CASGA","Pulsera","TargetVar","S_N_atleast5minwakenight",0.5466,0.5378,0,NA,NA,NA,NA,NA,NA,-0.5466,0.5378,0,0.5466,0.5378,0,NA,NA,NA
"361","CASGA","Pulsera","TargetVar","S_sleep_efficiency",-0.2477,0.4525,0.0139,NA,NA,NA,NA,NA,NA,0.2477,0.4525,0.0139,-0.2477,0.4525,0.0139,NA,NA,NA
"362","CASGA","Pulsera","TargetVar","S_ACC_spt_sleep_mg",0.0258,0.4525,0.8007,NA,NA,NA,NA,NA,NA,-0.0258,0.4525,0.8007,0.0258,0.4525,0.8007,NA,NA,NA
"363","CASGA","Pulsera","TargetVar","S_ACC_spt_wake_IN_mg",0.4102,0.4525,0,NA,NA,NA,NA,NA,NA,-0.4102,0.4525,0,0.4102,0.4525,0,NA,NA,NA
"364","CASGA","Pulsera","TargetVar","S_ACC_spt_wake_LIG_mg",0.0802,0.4525,0.4326,NA,NA,NA,NA,NA,NA,-0.0802,0.4525,0.4326,0.0802,0.4525,0.4326,NA,NA,NA
"365","CASGA","Pulsera","TargetVar","S_ACC_spt_wake_MOD_mg",0.4266,0.4525,0,NA,NA,NA,NA,NA,NA,-0.4266,0.4525,0,0.4266,0.4525,0,NA,NA,NA
"366","CASGA","Pulsera","TargetVar","S_ACC_spt_wake_VIG_mg",0.153,0.0637,0.1325,NA,NA,NA,NA,NA,NA,-0.153,0.0637,0.1325,0.153,0.0637,0.1325,NA,NA,NA
"367","CASGA","Pulsera","TargetVar","S_ACC_day_IN_unbt_mg",-0.731,0.4525,0,NA,NA,NA,NA,NA,NA,0.731,0.4525,0,-0.731,0.4525,0,NA,NA,NA
"368","CASGA","Pulsera","TargetVar","S_ACC_day_LIG_unbt_mg",0.4014,0.4525,0,NA,NA,NA,NA,NA,NA,-0.4014,0.4525,0,0.4014,0.4525,0,NA,NA,NA
"369","CASGA","Pulsera","TargetVar","S_ACC_day_MOD_unbt_mg",-0.1111,0.5258,0.276,NA,NA,NA,NA,NA,NA,0.1111,0.5258,0.276,-0.1111,0.5258,0.276,NA,NA,NA
"370","CASGA","Pulsera","TargetVar","S_ACC_day_VIG_unbt_mg",0.5106,0.396,0,NA,NA,NA,NA,NA,NA,-0.5106,0.396,0,0.5106,0.396,0,NA,NA,NA
"371","CASGA","Pulsera","TargetVar","S_ACC_day_MVPA_bts_1_mg",-0.0589,0.4525,0.5643,NA,NA,NA,NA,NA,NA,0.0589,0.4525,0.5643,-0.0589,0.4525,0.5643,NA,NA,NA
"372","CASGA","Pulsera","TargetVar","S_ACC_day_IN_bts_30_mg",0.0915,0.4525,0.3702,NA,NA,NA,NA,NA,NA,-0.0915,0.4525,0.3702,0.0915,0.4525,0.3702,NA,NA,NA
"373","CASGA","Pulsera","TargetVar","S_ACC_day_IN_bts_10_30_mg",0.0899,0.4525,0.3789,NA,NA,NA,NA,NA,NA,-0.0899,0.4525,0.3789,0.0899,0.4525,0.3789,NA,NA,NA
"374","CASGA","Pulsera","TargetVar","S_ACC_day_IN_bts_1_10_mg",-0.2412,0.4525,0.0167,NA,NA,NA,NA,NA,NA,0.2412,0.4525,0.0167,-0.2412,0.4525,0.0167,NA,NA,NA
"375","CASGA","Pulsera","TargetVar","S_ACC_day_LIG_bts_10_mg",0.4267,0.469,0,NA,NA,NA,NA,NA,NA,-0.4267,0.469,0,0.4267,0.469,0,NA,NA,NA
"376","CASGA","Pulsera","TargetVar","S_ACC_day_LIG_bts_1_10_mg",0.2605,0.4525,0.0096,NA,NA,NA,NA,NA,NA,-0.2605,0.4525,0.0096,0.2605,0.4525,0.0096,NA,NA,NA
"377","CASGA","Pulsera","TargetVar","S_ACC_day_total_IN_mg",-0.1514,0.4525,0.1366,NA,NA,NA,NA,NA,NA,0.1514,0.4525,0.1366,-0.1514,0.4525,0.1366,NA,NA,NA
"378","CASGA","Pulsera","TargetVar","S_ACC_day_total_LIG_mg",0.4938,0.4525,0,NA,NA,NA,NA,NA,NA,-0.4938,0.4525,0,0.4938,0.4525,0,NA,NA,NA
"379","CASGA","Pulsera","TargetVar","S_ACC_day_total_MOD_mg",0.0909,0.418,0.3735,NA,NA,NA,NA,NA,NA,-0.0909,0.418,0.3735,0.0909,0.418,0.3735,NA,NA,NA
"380","CASGA","Pulsera","TargetVar","S_ACC_day_total_VIG_mg",0.6041,0.4525,0,NA,NA,NA,NA,NA,NA,-0.6041,0.4525,0,0.6041,0.4525,0,NA,NA,NA
"381","CASGA","Pulsera","TargetVar","S_ACC_day_mg",0.2111,0.4525,0.0369,NA,NA,NA,NA,NA,NA,-0.2111,0.4525,0.0369,0.2111,0.4525,0.0369,NA,NA,NA
"382","CASGA","Pulsera","TargetVar","S_ACC_spt_mg",-0.0081,0.4525,0.9372,NA,NA,NA,NA,NA,NA,0.0081,0.4525,0.9372,-0.0081,0.4525,0.9372,NA,NA,NA
"383","CASGA","Pulsera","TargetVar","S_ACC_day_spt_mg",0.114,0.4923,0.2636,NA,NA,NA,NA,NA,NA,-0.114,0.4923,0.2636,0.114,0.4923,0.2636,NA,NA,NA
"384","CASGA","Pulsera","TargetVar","S_quantile_mostactive60min_mg",0.4192,0.4923,0,NA,NA,NA,NA,NA,NA,-0.4192,0.4923,0,0.4192,0.4923,0,NA,NA,NA
"385","CASGA","Pulsera","TargetVar","S_quantile_mostactive30min_mg",0.4194,0.4923,0,NA,NA,NA,NA,NA,NA,-0.4194,0.4923,0,0.4194,0.4923,0,NA,NA,NA
"386","CASGA","Pulsera","TargetVar","S_L5VALUE",-0.0886,0.4525,0.3858,NA,NA,NA,NA,NA,NA,0.0886,0.4525,0.3858,-0.0886,0.4525,0.3858,NA,NA,NA
"387","CASGA","Pulsera","TargetVar","S_M5VALUE",0.2966,0.4525,0.003,NA,NA,NA,NA,NA,NA,-0.2966,0.4525,0.003,0.2966,0.4525,0.003,NA,NA,NA
"388","CASGA","Pulsera","TargetVar","S_L5TIME_num",-0.1328,0.533,0.1925,NA,NA,NA,NA,NA,NA,0.1328,0.533,0.1925,-0.1328,0.533,0.1925,NA,NA,NA
"389","CASGA","Pulsera","TargetVar","S_M5TIME_num",-0.0632,0.4525,0.5362,NA,NA,NA,NA,NA,NA,0.0632,0.4525,0.5362,-0.0632,0.4525,0.5362,NA,NA,NA
"390","CASGA","Pulsera","TargetVar","S_L10VALUE",-0.1513,0.4525,0.137,NA,NA,NA,NA,NA,NA,0.1513,0.4525,0.137,-0.1513,0.4525,0.137,NA,NA,NA
"391","CASGA","Pulsera","TargetVar","S_M10VALUE",-0.1876,0.4525,0.0644,NA,NA,NA,NA,NA,NA,0.1876,0.4525,0.0644,-0.1876,0.4525,0.0644,NA,NA,NA
"392","CASGA","Pulsera","TargetVar","S_L10TIME_num",0.3693,0.4525,2e-04,NA,NA,NA,NA,NA,NA,-0.3693,0.4525,2e-04,0.3693,0.4525,2e-04,NA,NA,NA
"393","CASGA","Pulsera","TargetVar","S_M10TIME_num",-0.2518,0.4525,0.0124,NA,NA,NA,NA,NA,NA,0.2518,0.4525,0.0124,-0.2518,0.4525,0.0124,NA,NA,NA
"394","CASGA","Pulsera","TargetVar","S_Nbouts_day_MVPA_bts_1",0.2609,0.304,0.0095,NA,NA,NA,NA,NA,NA,-0.2609,0.304,0.0095,0.2609,0.304,0.0095,NA,NA,NA
"395","CASGA","Pulsera","TargetVar","S_Nbouts_day_IN_bts_30",0.2311,0.5074,0.022,NA,NA,NA,NA,NA,NA,-0.2311,0.5074,0.022,0.2311,0.5074,0.022,NA,NA,NA
"396","CASGA","Pulsera","TargetVar","S_Nbouts_day_IN_bts_10_30",0.0338,0.3728,0.7413,NA,NA,NA,NA,NA,NA,-0.0338,0.3728,0.7413,0.0338,0.3728,0.7413,NA,NA,NA
"397","CASGA","Pulsera","TargetVar","S_Nbouts_day_IN_bts_1_10",-0.1736,0.3258,0.0873,NA,NA,NA,NA,NA,NA,0.1736,0.3258,0.0873,-0.1736,0.3258,0.0873,NA,NA,NA
"398","CASGA","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_10",-0.2066,0.3296,0.0413,NA,NA,NA,NA,NA,NA,0.2066,0.3296,0.0413,-0.2066,0.3296,0.0413,NA,NA,NA
"399","CASGA","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_1_10",0.212,0.6379,0.0361,NA,NA,NA,NA,NA,NA,-0.212,0.6379,0.0361,0.212,0.6379,0.0361,NA,NA,NA
"400","CASGA","Pulsera","TargetVar","S_Nblocks_spt_sleep",0.488,0.4048,0,NA,NA,NA,NA,NA,NA,-0.488,0.4048,0,0.488,0.4048,0,NA,NA,NA
"401","CASGA","Pulsera","TargetVar","S_Nblocks_spt_wake_IN",0.4934,0.5039,0,NA,NA,NA,NA,NA,NA,-0.4934,0.5039,0,0.4934,0.5039,0,NA,NA,NA
"402","CASGA","Pulsera","TargetVar","S_Nblocks_spt_wake_LIG",0.4732,0.4208,0,NA,NA,NA,NA,NA,NA,-0.4732,0.4208,0,0.4732,0.4208,0,NA,NA,NA
"403","CASGA","Pulsera","TargetVar","S_Nblocks_spt_wake_MOD",0.2239,0.5992,0.0267,NA,NA,NA,NA,NA,NA,-0.2239,0.5992,0.0267,0.2239,0.5992,0.0267,NA,NA,NA
"404","CASGA","Pulsera","TargetVar","S_Nblocks_spt_wake_VIG",0.1261,0.4163,0.2161,NA,NA,NA,NA,NA,NA,-0.1261,0.4163,0.2161,0.1261,0.4163,0.2161,NA,NA,NA
"405","CASGA","Pulsera","TargetVar","S_Nblocks_day_IN_unbt",0.4605,0.58,0,NA,NA,NA,NA,NA,NA,-0.4605,0.58,0,0.4605,0.58,0,NA,NA,NA
"406","CASGA","Pulsera","TargetVar","S_Nblocks_day_LIG_unbt",0.0259,0.4061,0.8002,NA,NA,NA,NA,NA,NA,-0.0259,0.4061,0.8002,0.0259,0.4061,0.8002,NA,NA,NA
"407","CASGA","Pulsera","TargetVar","S_Nblocks_day_MOD_unbt",0.202,0.421,0.0461,NA,NA,NA,NA,NA,NA,-0.202,0.421,0.0461,0.202,0.421,0.0461,NA,NA,NA
"408","CASGA","Pulsera","TargetVar","S_Nblocks_day_VIG_unbt",0.2078,0.8632,0.04,NA,NA,NA,NA,NA,NA,-0.2078,0.8632,0.04,0.2078,0.8632,0.04,NA,NA,NA
"409","CASGA","Pulsera","TargetVar","S_Nblocks_day_MVPA_bts_1",0.2609,0.304,0.0095,NA,NA,NA,NA,NA,NA,-0.2609,0.304,0.0095,0.2609,0.304,0.0095,NA,NA,NA
"410","CASGA","Pulsera","TargetVar","S_Nblocks_day_IN_bts_30",0.2262,0.3922,0.0251,NA,NA,NA,NA,NA,NA,-0.2262,0.3922,0.0251,0.2262,0.3922,0.0251,NA,NA,NA
"411","CASGA","Pulsera","TargetVar","S_Nblocks_day_IN_bts_10_30",0.0257,0.3863,0.8019,NA,NA,NA,NA,NA,NA,-0.0257,0.3863,0.8019,0.0257,0.3863,0.8019,NA,NA,NA
"412","CASGA","Pulsera","TargetVar","S_Nblocks_day_IN_bts_1_10",-0.1733,0.3258,0.0879,NA,NA,NA,NA,NA,NA,0.1733,0.3258,0.0879,-0.1733,0.3258,0.0879,NA,NA,NA
"413","CASGA","Pulsera","TargetVar","S_Nblocks_day_LIG_bts_10",-0.2066,0.3296,0.0413,NA,NA,NA,NA,NA,NA,0.2066,0.3296,0.0413,-0.2066,0.3296,0.0413,NA,NA,NA
"414","CASGA","Pulsera","TargetVar","S_Nblocks_day_LIG_bts_1_10",0.211,0.6503,0.037,NA,NA,NA,NA,NA,NA,-0.211,0.6503,0.037,0.211,0.6503,0.037,NA,NA,NA
"415","CASGA","Pulsera","TargetVar","S_Nblocks_day_total_IN",-0.1581,0.4346,0.12,NA,NA,NA,NA,NA,NA,0.1581,0.4346,0.12,-0.1581,0.4346,0.12,NA,NA,NA
"416","CASGA","Pulsera","TargetVar","S_Nblocks_day_total_LIG",-0.0454,0.4241,0.6568,NA,NA,NA,NA,NA,NA,0.0454,0.4241,0.6568,-0.0454,0.4241,0.6568,NA,NA,NA
"417","CASGA","Pulsera","TargetVar","S_Nblocks_day_total_MOD",0.2286,0.3642,0.0236,NA,NA,NA,NA,NA,NA,-0.2286,0.3642,0.0236,0.2286,0.3642,0.0236,NA,NA,NA
"418","CASGA","Pulsera","TargetVar","S_Nblocks_day_total_VIG",0.2894,0.7679,0.0038,NA,NA,NA,NA,NA,NA,-0.2894,0.7679,0.0038,0.2894,0.7679,0.0038,NA,NA,NA
"424","CASGA","Intervenciones","TargetVar","I_alleviation",0.228,0.3958,0.5264,0.3734,0.4346,0.2879,-0.6417,0.1173,0.0455,0.035,0.8553,0.9235,0.343,0.2865,0.3319,NA,NA,NA
"425","CASGA","Intervenciones","TargetVar","I_therapist",0.1916,0.4388,0.596,0.1667,1,0.6454,-0.2182,1,0.5447,-0.375,0.8433,0.2856,0.4082,0.6283,0.2415,NA,NA,NA
"427","CASGA","Intervenciones","TargetVar","I_diagnosis",0.6567,0.3793,0.0391,-0.4466,0.4588,0.1957,-0.1892,0.3541,0.6007,-0.2758,0.4388,0.4405,0.6757,0.1877,0.032,NA,NA,NA
"428","CASGA","Intervenciones","TargetVar","I_intervencion_type",0.0479,0.766,0.8955,-0.1667,1,0.6454,0.2182,1,0.5447,-0.25,1,0.486,0.1021,1,0.7791,NA,NA,NA
"429","CASGA","Intervenciones","TargetVar","I_significant_change",0.4807,0.4142,0.1596,-0.2182,1,0.5447,-0.4286,0.5469,0.2165,0.2182,1,0.5447,0.3563,0.6726,0.3122,NA,NA,NA
"431","CASGA","Young","TargetVar","Y_hyperactivity",0.2582,0.2615,0.537,-0.2182,1,0.6036,-0.3333,1,0.4198,0.6547,0.5371,0.0781,0,1,1,NA,NA,NA
"434","CASGA","Young","TargetVar","Y_irritability",0.7888,0.0669,0.02,-0.1429,0.3301,0.7358,-0.8001,0.046,0.0171,-0.1429,0.3301,0.7358,0.8819,0.046,0.0038,NA,NA,NA
"435","CASGA","Young","TargetVar","Y_verbal_expression",0.1348,0.5438,0.7502,-0.3419,0.5647,0.4072,0.1741,0.5134,0.6801,0.114,0.1801,0.7882,0,1,1,NA,NA,NA
"436","CASGA","Young","TargetVar","Y_thought_disorder",0.5164,0.4459,0.1901,-0.2182,1,0.6036,-0.3333,1,0.4198,-0.2182,1,0.6036,0.5774,0.4142,0.134,NA,NA,NA
"438","CASGA","Young","TargetVar","Y_aggressiveness",0.3381,0.7667,0.4128,-0.1429,1,0.7358,-0.2182,1,0.6036,-0.1429,1,0.7358,0.378,1,0.3559,NA,NA,NA
"441","CASGA","HRSD","TargetVar","H_depression",-0.1432,0.4615,0.7351,0.5447,0.1801,0.1627,-0.2774,0.6412,0.506,-0.4237,0.3858,0.2956,0.1601,0.7165,0.7049,NA,NA,NA
"442","CASGA","HRSD","TargetVar","H_guilt",0.3381,0.7667,0.4128,-0.1429,1,0.7358,-0.2182,1,0.6036,-0.1429,1,0.7358,0.378,1,0.3559,NA,NA,NA
"443","CASGA","HRSD","TargetVar","H_suicide",0,0.2917,1,0.488,0.7825,0.2199,-0.4472,0.6733,0.2666,-0.2928,1,0.4816,0.2582,1,0.537,NA,NA,NA
"444","CASGA","HRSD","TargetVar","H_early_insonmia",0.3381,0.7667,0.4128,-0.1429,1,0.7358,-0.2182,1,0.6036,-0.1429,1,0.7358,0.378,1,0.3559,NA,NA,NA
"447","CASGA","HRSD","TargetVar","H_activity",0,0.2917,1,0.488,0.7825,0.2199,-0.4472,0.6733,0.2666,-0.2928,1,0.4816,0.2582,1,0.537,NA,NA,NA
"450","CASGA","HRSD","TargetVar","H_psychic_anxiety",0.4819,0.8494,0.2265,-0.2037,0.8266,0.6286,-0.3111,0.6412,0.4533,-0.2037,0.8266,0.6286,0.5388,0.2636,0.1682,NA,NA,NA
"451","CASGA","HRSD","TargetVar","H_somatic_anxiety",0.3381,0.7667,0.4128,-0.1429,1,0.7358,-0.2182,1,0.6036,-0.1429,1,0.7358,0.378,1,0.3559,NA,NA,NA
"458","CASGA","HRSD","TargetVar","H_hrsd",0.2609,0.2627,0.5325,0.3124,0.1562,0.4512,-0.5334,0.3766,0.1734,-0.4227,0.6342,0.2968,0.5348,0.1562,0.172,NA,NA,NA
"459","CASGA","Young","TargetVar","Y_young",0.7828,0.2993,0.0216,-0.3859,0.1562,0.345,-0.5895,0.1562,0.1241,0.0551,0.8622,0.8968,0.7293,0.3766,0.0401,NA,NA,NA
"461","DOGE","Diario","TargetVar","D_anxiety",-0.1722,0,0.0114,0.4464,0,0,-0.2049,0.0096,0.0025,NA,NA,NA,0.0158,0.0284,0.8182,NA,NA,NA
"464","DOGE","Diario","TargetVar","D_tobacco",0.365,0,0,-0.03,0,0.6617,-0.277,0,0,NA,NA,NA,-0.0901,0.0408,0.188,NA,NA,NA
"465","DOGE","Diario","TargetVar","D_caffeine",-0.1477,0,0.0304,-0.3111,0,0,0.4649,0.004,0,NA,NA,NA,-0.2909,0.1483,0,NA,NA,NA
"466","DOGE","Diario","TargetVar","D_sleep_time",0.3902,0,0,-0.032,0,0.6407,-0.3895,0.0226,0,NA,NA,NA,0.2219,0.0343,0.0011,NA,NA,NA
"467","DOGE","Diario","TargetVar","D_wakeup_time",-0.2247,0.0171,9e-04,-0.0305,0,0.6567,0.1683,0.3768,0.0135,NA,NA,NA,0.1959,0.6642,0.0039,NA,NA,NA
"470","DOGE","Diario","TargetVar","D_slowness_fill_form",0.3372,0.3295,0,-0.1745,0.2076,0.0104,-0.1995,0.4655,0.0033,NA,NA,NA,0.122,0.4052,0.0743,NA,NA,NA
"471","DOGE","Diario","TargetVar","D_sleep_duration",-0.3713,0.0012,0,-0.0154,0,0.8226,0.3181,0.1615,0,NA,NA,NA,0.0922,0.63,0.1782,NA,NA,NA
"472","DOGE","Diario","TargetVar","D_sleep_zenith",-0.0481,0.0048,0.4832,-0.0398,0,0.5621,-0.0022,0.1225,0.9742,NA,NA,NA,0.2623,0.4687,1e-04,NA,NA,NA
"475","DOGE","Diario","TargetVar","D_observation_string_length",0.2318,0.0277,6e-04,-0.1495,1,0.0284,-0.1171,0.3102,0.0866,NA,NA,NA,0.0958,0,0.1616,NA,NA,NA
"476","DOGE","Diario","TargetVar","D_time_start_form",-0.3716,0.2291,0,0.1924,0.178,0.0046,0.1233,0.3946,0.0711,NA,NA,NA,0.1946,0.5527,0.0042,NA,NA,NA
"477","DOGE","Diario","TargetVar","D_slowness_fill_form_no_outliers",0.318,0.3295,0,-0.1812,0.2076,0.0077,-0.1836,0.4655,0.0069,NA,NA,NA,0.1447,0.4052,0.0339,NA,NA,NA
"478","DOGE","Diario","TargetVar","D_slowness_fill_form_no_outliers_scales",0.318,0.3295,0,-0.1812,0.2076,0.0077,-0.1836,0.4655,0.0069,NA,NA,NA,0.1447,0.4052,0.0339,NA,NA,NA
"479","DOGE","Pulsera","TargetVar","S_week",-0.8228,0,0,0.3109,0,0,0.5643,0,0,NA,NA,NA,-0.2506,0,2e-04,NA,NA,NA
"480","DOGE","Pulsera","TargetVar","S_window_number",-0.1202,0.9887,0.3079,NA,NA,NA,0.1202,0.9887,0.3079,NA,NA,NA,-0.1202,0.9887,0.3079,NA,NA,NA
"481","DOGE","Pulsera","TargetVar","S_sleeponset",0.1209,0.4127,0.3048,NA,NA,NA,-0.1209,0.4127,0.3048,NA,NA,NA,0.1209,0.4127,0.3048,NA,NA,NA
"482","DOGE","Pulsera","TargetVar","S_wakeup",0.2739,0.4453,0.0182,NA,NA,NA,-0.2739,0.4453,0.0182,NA,NA,NA,0.2739,0.4453,0.0182,NA,NA,NA
"483","DOGE","Pulsera","TargetVar","S_night_number",-0.1074,0.9936,0.3622,NA,NA,NA,0.1074,0.9936,0.3622,NA,NA,NA,-0.1074,0.9936,0.3622,NA,NA,NA
"484","DOGE","Pulsera","TargetVar","S_daysleeper",0.2406,0.9224,0.039,NA,NA,NA,-0.2406,0.9224,0.039,NA,NA,NA,0.2406,0.9224,0.039,NA,NA,NA
"489","DOGE","Pulsera","TargetVar","S_nonwear_perc_spt",-0.0641,0.9956,0.5875,NA,NA,NA,0.0641,0.9956,0.5875,NA,NA,NA,-0.0641,0.9956,0.5875,NA,NA,NA
"490","DOGE","Pulsera","TargetVar","S_nonwear_perc_day_spt",-0.0675,0.9956,0.5677,NA,NA,NA,0.0675,0.9956,0.5677,NA,NA,NA,-0.0675,0.9956,0.5677,NA,NA,NA
"491","DOGE","Pulsera","TargetVar","S_dur_spt_sleep_min",0.2738,0.4453,0.0183,NA,NA,NA,-0.2738,0.4453,0.0183,NA,NA,NA,0.2738,0.4453,0.0183,NA,NA,NA
"492","DOGE","Pulsera","TargetVar","S_dur_spt_wake_IN_min",0.3798,0.4453,8e-04,NA,NA,NA,-0.3798,0.4453,8e-04,NA,NA,NA,0.3798,0.4453,8e-04,NA,NA,NA
"493","DOGE","Pulsera","TargetVar","S_dur_spt_wake_LIG_min",-0.0422,0.4127,0.7213,NA,NA,NA,0.0422,0.4127,0.7213,NA,NA,NA,-0.0422,0.4127,0.7213,NA,NA,NA
"494","DOGE","Pulsera","TargetVar","S_dur_spt_wake_MOD_min",-0.1762,0.1619,0.1331,NA,NA,NA,0.1762,0.1619,0.1331,NA,NA,NA,-0.1762,0.1619,0.1331,NA,NA,NA
"495","DOGE","Pulsera","TargetVar","S_dur_spt_wake_VIG_min",0.1524,0.1417,0.1947,NA,NA,NA,-0.1524,0.1417,0.1947,NA,NA,NA,0.1524,0.1417,0.1947,NA,NA,NA
"496","DOGE","Pulsera","TargetVar","S_dur_day_IN_unbt_min",-0.3329,0.4127,0.0038,NA,NA,NA,0.3329,0.4127,0.0038,NA,NA,NA,-0.3329,0.4127,0.0038,NA,NA,NA
"497","DOGE","Pulsera","TargetVar","S_dur_day_LIG_unbt_min",-0.362,0.4453,0.0015,NA,NA,NA,0.362,0.4453,0.0015,NA,NA,NA,-0.362,0.4453,0.0015,NA,NA,NA
"498","DOGE","Pulsera","TargetVar","S_dur_day_MOD_unbt_min",-0.3373,0.4127,0.0033,NA,NA,NA,0.3373,0.4127,0.0033,NA,NA,NA,-0.3373,0.4127,0.0033,NA,NA,NA
"499","DOGE","Pulsera","TargetVar","S_dur_day_VIG_unbt_min",-0.2815,0.8386,0.0151,NA,NA,NA,0.2815,0.8386,0.0151,NA,NA,NA,-0.2815,0.8386,0.0151,NA,NA,NA
"500","DOGE","Pulsera","TargetVar","S_dur_day_MVPA_bts_1_min",-0.2515,0.4453,0.0307,NA,NA,NA,0.2515,0.4453,0.0307,NA,NA,NA,-0.2515,0.4453,0.0307,NA,NA,NA
"501","DOGE","Pulsera","TargetVar","S_dur_day_IN_bts_30_min",0.2916,0.4127,0.0117,NA,NA,NA,-0.2916,0.4127,0.0117,NA,NA,NA,0.2916,0.4127,0.0117,NA,NA,NA
