"","id","origen.x","origen.y","var.x","Z_dx_numeric_cor","Z_dx_numeric_chi","Z_dx_numeric_anova","depression_cor","depression_chi","depression_anova","euthymia_cor","euthymia_chi","euthymia_anova","hypomania_cor","hypomania_chi","hypomania_anova","mixed_cor","mixed_chi","mixed_anova","hospitalized_cor","hospitalized_chi","hospitalized_anova"
"687","GOMA","Pulsera","TargetVar","S_Nbouts_day_IN_bts_30",-0.1367,1e-04,0.1113,0.1269,0.7721,0.1396,0.015,0,0.8617,NA,NA,NA,-0.1378,0.8759,0.1083,NA,NA,NA
"688","GOMA","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_1_10",0.4672,0.1156,0,-0.4335,0.2623,0,-0.052,0.0926,0.5459,NA,NA,NA,0.4711,0.3662,0,NA,NA,NA
"689","GOMA","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_10",0.2524,0.0344,0.0029,-0.2089,0.3745,0.0143,-0.1223,0.0144,0.1547,NA,NA,NA,0.2677,0.3225,0.0016,NA,NA,NA
"690","GOMA","Pulsera","TargetVar","S_Nbouts_day_MVPA_bts_1",0.1031,0.3656,0.2305,-0.1066,0.102,0.2151,0.029,0.9502,0.7364,NA,NA,NA,0.0983,0.0378,0.253,NA,NA,NA
"691","GOMA","Pulsera","TargetVar","S_night_number",-0.0947,0.4295,0.271,0.1457,0.8783,0.0894,-0.2041,0.0538,0.0167,NA,NA,NA,-0.0655,0.9507,0.4468,NA,NA,NA
"692","GOMA","Pulsera","TargetVar","S_nonwear_perc_day",0.0392,0,0.6493,-0.0503,0.4339,0.5592,0.0475,0,0.5818,NA,NA,NA,0.0323,0.649,0.708,NA,NA,NA
"693","GOMA","Pulsera","TargetVar","S_nonwear_perc_day_spt",0.119,0.0638,0.1661,-0.1057,0.5423,0.2192,-0.0309,0.0083,0.7202,NA,NA,NA,0.1224,0.6245,0.154,NA,NA,NA
"694","GOMA","Pulsera","TargetVar","S_nonwear_perc_spt",0.102,0.6302,0.2357,-0.0797,0.4201,0.3547,-0.0669,0.7757,0.4374,NA,NA,NA,0.1106,0.3785,0.1982,NA,NA,NA
"695","GOMA","Pulsera","TargetVar","S_quantile_mostactive30min_mg",0.1132,0.4208,0.1879,-0.1153,0.4358,0.1798,0.0255,0.4358,0.7675,NA,NA,NA,0.1088,0.4358,0.2056,NA,NA,NA
"696","GOMA","Pulsera","TargetVar","S_quantile_mostactive60min_mg",0.1417,0.4127,0.0986,-0.1425,0.5074,0.0966,0.0252,0.3423,0.7698,NA,NA,NA,0.1372,0.5202,0.1099,NA,NA,NA
"697","GOMA","Pulsera","TargetVar","S_sleep_efficiency",0.0936,0.4546,0.2765,-0.0789,0.4598,0.3595,-0.04,0.4598,0.6422,NA,NA,NA,0.0985,0.4598,0.2519,NA,NA,NA
"699","GOMA","Pulsera","TargetVar","S_sleeponset",0.091,0.674,0.2902,-0.0721,0.5239,0.4027,-0.0561,0.7468,0.5146,NA,NA,NA,0.0982,0.4715,0.2536,NA,NA,NA
"700","GOMA","Pulsera","TargetVar","S_wakeup",0.1166,0.4208,0.1747,-0.1133,0.4358,0.1875,0.0058,0.4358,0.9463,NA,NA,NA,0.115,0.4358,0.1809,NA,NA,NA
"701","GOMA","Pulsera","TargetVar","S_week",-0.3423,0,0,0.0512,0,0.4511,0.5189,0,0,NA,NA,NA,-0.4607,0,0,NA,NA,NA
"702","GOMA","Pulsera","TargetVar","S_window_number",-0.1169,0.2929,0.1735,0.1618,0.9214,0.059,-0.1846,0.0122,0.0308,NA,NA,NA,-0.0903,0.9719,0.2938,NA,NA,NA
"821","LABA","Diario","TargetVar","D_animus",0.0709,0.0674,0.4813,NA,NA,NA,-0.1679,0.243,0.0934,0.2311,0.0706,0.02,-0.0881,0.8518,0.381,NA,NA,NA
"823","LABA","Diario","TargetVar","D_caffeine",0.0904,0.7935,0.3686,NA,NA,NA,-0.2142,0.6543,0.0315,0.2949,0.1877,0.0028,-0.1124,0.9902,0.2631,NA,NA,NA
"826","LABA","Diario","TargetVar","D_irritability",0.1157,0.3736,0.2493,NA,NA,NA,-0.139,0.2901,0.1656,0.1099,0.4423,0.274,0.0378,1,0.7078,NA,NA,NA
"827","LABA","Diario","TargetVar","D_motivation",-0.1856,0.1041,0.0631,NA,NA,NA,0.2117,0.1259,0.0336,-0.1537,0.3402,0.1248,-0.0759,1,0.4506,NA,NA,NA
"828","LABA","Diario","TargetVar","D_observation_string_length",-0.1252,0.1265,0.2123,NA,NA,NA,0.1668,0.2776,0.0955,-0.1513,0.5998,0.131,-0.0189,0.0491,0.8514,NA,NA,NA
"829","LABA","Diario","TargetVar","D_sleep_duration",-0.2753,0.228,0.0053,NA,NA,NA,0.3055,0.2594,0.0019,-0.2113,0.153,0.0339,-0.1239,0.4365,0.2171,NA,NA,NA
"830","LABA","Diario","TargetVar","D_sleep_quality",-0.1061,0.4776,0.291,NA,NA,NA,0.121,0.8474,0.2282,-0.0879,1,0.3823,-0.0434,1,0.6666,NA,NA,NA
"831","LABA","Diario","TargetVar","D_sleep_time",-0.2466,0.0141,0.0129,NA,NA,NA,0.1269,0.1166,0.2059,0.1013,0.0101,0.3133,-0.3083,0.0917,0.0017,NA,NA,NA
"832","LABA","Diario","TargetVar","D_sleep_zenith",-0.0811,0.0935,0.4203,NA,NA,NA,0.2797,0.162,0.0046,-0.438,0.1164,0,0.2187,0.2177,0.028,NA,NA,NA
"833","LABA","Diario","TargetVar","D_slowness_fill_form",-0.2145,0.4691,0.0312,NA,NA,NA,0.3261,0.5161,9e-04,-0.339,0.4541,5e-04,0.0218,0.4452,0.8285,NA,NA,NA
"834","LABA","Diario","TargetVar","D_slowness_fill_form_no_outliers",-0.1871,0.4691,0.0611,NA,NA,NA,0.3037,0.5161,0.002,-0.3339,0.4541,6e-04,0.045,0.4452,0.6548,NA,NA,NA
"835","LABA","Diario","TargetVar","D_slowness_fill_form_no_outliers_scales",-0.1871,0.4691,0.0611,NA,NA,NA,0.3037,0.5161,0.002,-0.3339,0.4541,6e-04,0.045,0.4452,0.6548,NA,NA,NA
"836","LABA","Diario","TargetVar","D_time_start_form",-0.6246,0.4767,0,NA,NA,NA,0.316,0.5475,0.0013,0.2674,0.4836,0.0069,-0.7882,0.4167,0,NA,NA,NA
"837","LABA","Diario","TargetVar","D_tobacco",-0.1685,0.0285,0.0921,NA,NA,NA,0.073,0.0342,0.4681,0.0964,0.0048,0.3374,-0.2291,0.4935,0.0212,NA,NA,NA
"838","LABA","Diario","TargetVar","D_wakeup_time",-0.2729,3e-04,0.0058,NA,NA,NA,0.3658,0.0203,2e-04,-0.3342,0.003,6e-04,-0.0382,0.0056,0.7046,NA,NA,NA
"840","LABA","Pulsera","TargetVar","S_ACC_day_IN_bts_1_10_mg",-0.0987,0.4382,0.4027,NA,NA,NA,0.2781,0.4453,0.0164,-0.4168,0.4453,2e-04,0.1487,0.4453,0.2062,NA,NA,NA
"841","LABA","Pulsera","TargetVar","S_ACC_day_IN_bts_10_30_mg",0.0661,0.4382,0.576,NA,NA,NA,0.039,0.4453,0.7416,-0.1883,0.4453,0.1082,0.1714,0.4453,0.1442,NA,NA,NA
"842","LABA","Pulsera","TargetVar","S_ACC_day_IN_bts_30_mg",-0.3072,0.4382,0.0078,NA,NA,NA,0.4237,0.4453,2e-04,-0.3802,0.4453,8e-04,-0.069,0.4453,0.5591,NA,NA,NA
"843","LABA","Pulsera","TargetVar","S_ACC_day_IN_unbt_mg",0.4677,0.4382,0,NA,NA,NA,-0.5295,0.4453,0,0.3388,0.4453,0.0031,0.2442,0.4453,0.036,NA,NA,NA
"844","LABA","Pulsera","TargetVar","S_ACC_day_LIG_bts_1_10_mg",-0.5624,0.4382,0,NA,NA,NA,0.5866,0.4453,0,-0.3036,0.4453,0.0085,-0.3539,0.4453,0.002,NA,NA,NA
"845","LABA","Pulsera","TargetVar","S_ACC_day_LIG_bts_10_mg",-0.601,0.265,0,NA,NA,NA,0.5894,0.3184,0,-0.2465,0.3184,0.0343,-0.4235,0.3184,2e-04,NA,NA,NA
"846","LABA","Pulsera","TargetVar","S_ACC_day_LIG_unbt_mg",-0.4688,0.4382,0,NA,NA,NA,0.4068,0.4453,3e-04,-0.0824,0.4453,0.485,-0.3939,0.4453,5e-04,NA,NA,NA
"847","LABA","Pulsera","TargetVar","S_ACC_day_mg",-0.0041,0.4382,0.9722,NA,NA,NA,-0.0898,0.4453,0.4469,0.193,0.4453,0.0994,-0.1158,0.4453,0.3259,NA,NA,NA
"848","LABA","Pulsera","TargetVar","S_ACC_day_MOD_unbt_mg",0.0444,0.4382,0.7073,NA,NA,NA,0.0827,0.4453,0.4835,-0.2438,0.4453,0.0363,0.1832,0.4453,0.1182,NA,NA,NA
"849","LABA","Pulsera","TargetVar","S_ACC_day_MVPA_bts_1_mg",0.1782,0.4382,0.1287,NA,NA,NA,-0.2781,0.4453,0.0164,0.2877,0.4453,0.0129,0.0011,0.4453,0.9923,NA,NA,NA
"850","LABA","Pulsera","TargetVar","S_ACC_day_spt_mg",0.0736,0.4382,0.5334,NA,NA,NA,-0.2519,0.4453,0.0304,0.4033,0.4453,4e-04,-0.1645,0.4453,0.1612,NA,NA,NA
"851","LABA","Pulsera","TargetVar","S_ACC_day_total_IN_mg",0.128,0.4382,0.2773,NA,NA,NA,-0.0501,0.4453,0.6715,-0.1039,0.4453,0.3783,0.1808,0.4453,0.1231,NA,NA,NA
"852","LABA","Pulsera","TargetVar","S_ACC_day_total_LIG_mg",-0.6186,0.4382,0,NA,NA,NA,0.6097,0.4453,0,-0.2602,0.4453,0.0251,-0.432,0.4453,1e-04,NA,NA,NA
"853","LABA","Pulsera","TargetVar","S_ACC_day_total_MOD_mg",0.2253,0.4382,0.0536,NA,NA,NA,-0.2198,0.4453,0.0598,0.0901,0.4453,0.4451,0.1601,0.4453,0.1731,NA,NA,NA
"854","LABA","Pulsera","TargetVar","S_ACC_day_total_VIG_mg",0.3365,0.4382,0.0034,NA,NA,NA,-0.2074,0.4453,0.0762,-0.1163,0.4453,0.3237,0.3845,0.4453,7e-04,NA,NA,NA
"855","LABA","Pulsera","TargetVar","S_ACC_day_VIG_unbt_mg",0.2716,0.4382,0.0192,NA,NA,NA,-0.2007,0.4453,0.0864,-0.0248,0.4453,0.8339,0.2703,0.4453,0.0198,NA,NA,NA
"856","LABA","Pulsera","TargetVar","S_ACC_spt_mg",0.0986,0.4382,0.4033,NA,NA,NA,-0.0437,0.4453,0.7118,-0.0696,0.4453,0.5558,0.1332,0.4453,0.2577,NA,NA,NA
"857","LABA","Pulsera","TargetVar","S_ACC_spt_sleep_mg",-0.4325,0.4382,1e-04,NA,NA,NA,0.5585,0.4453,0,-0.4563,0.4453,0,-0.143,0.4453,0.2241,NA,NA,NA
"858","LABA","Pulsera","TargetVar","S_ACC_spt_wake_IN_mg",0.0369,0.4382,0.755,NA,NA,NA,0.0139,0.4453,0.9063,-0.0888,0.4453,0.4516,0.0863,0.4453,0.4648,NA,NA,NA
"859","LABA","Pulsera","TargetVar","S_ACC_spt_wake_LIG_mg",-0.2915,0.4382,0.0117,NA,NA,NA,0.3979,0.4453,4e-04,-0.3521,0.4453,0.0021,-0.0705,0.4453,0.5504,NA,NA,NA
"860","LABA","Pulsera","TargetVar","S_ACC_spt_wake_MOD_mg",0.0658,0.4382,0.5774,NA,NA,NA,-0.1902,0.4453,0.1046,0.2877,0.4453,0.0129,-0.1048,0.4453,0.3742,NA,NA,NA
"861","LABA","Pulsera","TargetVar","S_ACC_spt_wake_VIG_mg",-0.0086,0.3925,0.9424,NA,NA,NA,-0.1905,0.4127,0.104,0.4093,0.4127,3e-04,-0.2454,0.4127,0.0351,NA,NA,NA
"868","LABA","Pulsera","TargetVar","S_daysleeper",-0.1856,0.2218,0.1133,NA,NA,NA,0.3519,0.0433,0.0021,-0.4288,0.4372,1e-04,0.0737,0.4989,0.5327,NA,NA,NA
"869","LABA","Pulsera","TargetVar","S_dur_day_IN_bts_1_10_min",0.2992,0.4382,0.0096,NA,NA,NA,-0.4735,0.4453,0,0.4965,0.4453,0,-0.0059,0.4453,0.96,NA,NA,NA
"870","LABA","Pulsera","TargetVar","S_dur_day_IN_bts_10_30_min",0.1632,0.3925,0.1646,NA,NA,NA,-0.138,0.4127,0.241,0.0211,0.4127,0.8583,0.1416,0.4127,0.2289,NA,NA,NA
"871","LABA","Pulsera","TargetVar","S_dur_day_IN_bts_30_min",-0.4587,0.4973,0,NA,NA,NA,0.4208,0.3935,2e-04,-0.1279,0.4929,0.2776,-0.3581,0.5509,0.0017,NA,NA,NA
"872","LABA","Pulsera","TargetVar","S_dur_day_IN_unbt_min",0.184,0.4781,0.1165,NA,NA,NA,-0.3931,0.4127,5e-04,0.5167,0.4843,0,-0.1262,0.5095,0.284,NA,NA,NA
"873","LABA","Pulsera","TargetVar","S_dur_day_LIG_bts_1_10_min",0.1834,0.4382,0.1179,NA,NA,NA,-0.3426,0.4453,0.0028,0.413,0.4453,3e-04,-0.0667,0.4453,0.5723,NA,NA,NA
"874","LABA","Pulsera","TargetVar","S_dur_day_LIG_bts_10_min",0.3513,0.0983,0.0021,NA,NA,NA,-0.3143,0.4429,0.0064,0.0814,0.0917,0.4903,0.2838,0.1164,0.0143,NA,NA,NA
"875","LABA","Pulsera","TargetVar","S_dur_day_LIG_unbt_min",0.1805,0.3925,0.1239,NA,NA,NA,-0.3967,0.4127,5e-04,0.53,0.4127,0,-0.1372,0.4127,0.2436,NA,NA,NA
"876","LABA","Pulsera","TargetVar","S_dur_day_min",0.0577,0.4382,0.6252,NA,NA,NA,-0.2518,0.4453,0.0304,0.4288,0.4453,1e-04,-0.1943,0.4453,0.0972,NA,NA,NA
"877","LABA","Pulsera","TargetVar","S_dur_day_MOD_unbt_min",0.0988,0.4313,0.4024,NA,NA,NA,-0.2878,0.3805,0.0129,0.4367,0.4509,1e-04,-0.1601,0.476,0.1729,NA,NA,NA
"878","LABA","Pulsera","TargetVar","S_dur_day_MVPA_bts_1_min",-0.4217,0.2922,2e-04,NA,NA,NA,0.3608,0.3481,0.0016,-0.0635,0.2888,0.5907,-0.3605,0.3765,0.0016,NA,NA,NA
"879","LABA","Pulsera","TargetVar","S_dur_day_spt_min",0.1398,0.4382,0.2349,NA,NA,NA,-0.3048,0.4453,0.0083,0.4055,0.4453,3e-04,-0.1034,0.4453,0.3808,NA,NA,NA
"880","LABA","Pulsera","TargetVar","S_dur_day_total_IN_min",-0.0267,0.4382,0.8216,NA,NA,NA,-0.1539,0.4453,0.1904,0.3628,0.4453,0.0015,-0.2355,0.4453,0.0434,NA,NA,NA
"881","LABA","Pulsera","TargetVar","S_dur_day_total_LIG_min",0.212,0.3925,0.0698,NA,NA,NA,-0.4023,0.4127,4e-04,0.4904,0.4127,0,-0.0846,0.4127,0.4738,NA,NA,NA
"882","LABA","Pulsera","TargetVar","S_dur_day_total_MOD_min",-0.0957,0.5332,0.4174,NA,NA,NA,-0.0672,0.4127,0.5694,0.295,0.5653,0.0107,-0.2612,0.5421,0.0246,NA,NA,NA
"883","LABA","Pulsera","TargetVar","S_dur_day_total_VIG_min",-0.152,0.4218,0.1961,NA,NA,NA,0.1035,0.1799,0.3804,0.0323,0.5333,0.785,-0.1619,0.5763,0.1681,NA,NA,NA
"884","LABA","Pulsera","TargetVar","S_dur_day_VIG_unbt_min",0.0048,0.648,0.9674,NA,NA,NA,-0.1035,0.4467,0.3803,0.2069,0.5767,0.0769,-0.1154,0.7084,0.3275,NA,NA,NA
"885","LABA","Pulsera","TargetVar","S_dur_spt_min",0.2219,0.4382,0.0575,NA,NA,NA,-0.1993,0.4453,0.0887,0.053,0.4453,0.6537,0.1783,0.4453,0.1285,NA,NA,NA
"886","LABA","Pulsera","TargetVar","S_dur_spt_sleep_min",-0.3131,0.4382,0.0066,NA,NA,NA,0.3802,0.4453,8e-04,-0.2802,0.4453,0.0156,-0.1326,0.4453,0.26,NA,NA,NA
"887","LABA","Pulsera","TargetVar","S_dur_spt_wake_IN_min",0.4049,0.4382,3e-04,NA,NA,NA,-0.4383,0.4453,1e-04,0.2518,0.4453,0.0305,0.2355,0.4453,0.0434,NA,NA,NA
"888","LABA","Pulsera","TargetVar","S_dur_spt_wake_LIG_min",0.2586,0.4719,0.0261,NA,NA,NA,-0.2325,0.4791,0.0463,0.0622,0.4127,0.5987,0.2076,0.5095,0.0759,NA,NA,NA
"889","LABA","Pulsera","TargetVar","S_dur_spt_wake_MOD_min",0.2005,0.3095,0.0867,NA,NA,NA,-0.1547,0.3678,0.188,-0.0047,0.3158,0.9683,0.1917,0.3708,0.1018,NA,NA,NA
"890","LABA","Pulsera","TargetVar","S_dur_spt_wake_VIG_min",0.1015,0.468,0.3894,NA,NA,NA,-0.2307,0.5183,0.0479,0.3139,0.1504,0.0065,-0.0863,0.7547,0.4645,NA,NA,NA
"891","LABA","Pulsera","TargetVar","S_L10TIME_num",-0.1133,0.4382,0.3363,NA,NA,NA,0.3101,0.4453,0.0072,-0.4594,0.4453,0,0.1596,0.4453,0.1745,NA,NA,NA
"892","LABA","Pulsera","TargetVar","S_L10VALUE",-0.0517,0.4382,0.6617,NA,NA,NA,-0.0284,0.4453,0.81,0.143,0.4453,0.2241,-0.1317,0.4453,0.2634,NA,NA,NA
"893","LABA","Pulsera","TargetVar","S_L5TIME_num",-0.2194,0.4382,0.0604,NA,NA,NA,0.3973,0.4453,5e-04,-0.4681,0.4453,0,0.0647,0.4453,0.5839,NA,NA,NA
"894","LABA","Pulsera","TargetVar","S_L5VALUE",0.1085,0.4382,0.3576,NA,NA,NA,0.0089,0.4453,0.9399,-0.1948,0.4453,0.0963,0.2151,0.4453,0.0656,NA,NA,NA
"895","LABA","Pulsera","TargetVar","S_M10TIME_num",-0.1842,0.4382,0.1162,NA,NA,NA,0.2561,0.4453,0.0276,-0.2323,0.4453,0.0464,-0.0388,0.4453,0.7425,NA,NA,NA
"896","LABA","Pulsera","TargetVar","S_M10VALUE",-0.135,0.4382,0.2513,NA,NA,NA,0.167,0.4453,0.1549,-0.1272,0.4453,0.2801,-0.0535,0.4453,0.6508,NA,NA,NA
"897","LABA","Pulsera","TargetVar","S_M5TIME_num",-0.2536,0.4382,0.0293,NA,NA,NA,0.2934,0.4453,0.0112,-0.197,0.4453,0.0926,-0.1247,0.4453,0.2897,NA,NA,NA
"898","LABA","Pulsera","TargetVar","S_M5VALUE",-0.1226,0.4382,0.2982,NA,NA,NA,-0.0271,0.4453,0.8186,0.2555,0.4453,0.028,-0.2636,0.4453,0.0233,NA,NA,NA
"899","LABA","Pulsera","TargetVar","S_N_atleast5minwakenight",0.2744,0.0042,0.018,NA,NA,NA,-0.2833,0.0052,0.0145,0.142,0.002,0.2275,0.1762,0.3687,0.1331,NA,NA,NA
"900","LABA","Pulsera","TargetVar","S_Nblocks_day_IN_bts_1_10",0.2629,0.6037,0.0236,NA,NA,NA,-0.455,0.3462,0,0.5171,0.6149,0,-0.0521,0.6785,0.6592,NA,NA,NA
"901","LABA","Pulsera","TargetVar","S_Nblocks_day_IN_bts_10_30",0.1915,0.2101,0.1021,NA,NA,NA,-0.2132,0.0642,0.0682,0.1312,0.343,0.2651,0.1044,0.4809,0.3761,NA,NA,NA
"902","LABA","Pulsera","TargetVar","S_Nblocks_day_IN_bts_30",-0.5202,0.7134,0,NA,NA,NA,0.4867,0.4264,0,-0.1646,0.9466,0.1611,-0.3948,0.4447,5e-04,NA,NA,NA
"903","LABA","Pulsera","TargetVar","S_Nblocks_day_IN_unbt",0.1858,0.3925,0.1129,NA,NA,NA,-0.4014,0.4127,4e-04,0.5311,0.4127,0,-0.1329,0.4127,0.2591,NA,NA,NA
"904","LABA","Pulsera","TargetVar","S_Nblocks_day_LIG_bts_1_10",0.1681,0.2973,0.1522,NA,NA,NA,-0.3318,0.3785,0.0039,0.4155,0.4752,2e-04,-0.0825,0.2274,0.4848,NA,NA,NA
"905","LABA","Pulsera","TargetVar","S_Nblocks_day_LIG_bts_10",0.38,0.0447,8e-04,NA,NA,NA,-0.3474,0.1936,0.0024,0.1035,0.0328,0.3801,0.2981,0.1507,0.0099,NA,NA,NA
"906","LABA","Pulsera","TargetVar","S_Nblocks_day_LIG_unbt",0.1806,0.316,0.1237,NA,NA,NA,-0.3963,0.3801,5e-04,0.529,0.385,0,-0.1366,0.3184,0.2458,NA,NA,NA
"907","LABA","Pulsera","TargetVar","S_Nblocks_day_MOD_unbt",0.0846,0.4104,0.4737,NA,NA,NA,-0.2867,0.4921,0.0133,0.4575,0.5063,0,-0.1856,0.3184,0.1134,NA,NA,NA
"908","LABA","Pulsera","TargetVar","S_Nblocks_day_MVPA_bts_1",-0.1289,0.2317,0.2739,NA,NA,NA,5e-04,0.3466,0.9967,0.2084,0.46,0.0748,-0.2423,0.1551,0.0376,NA,NA,NA
"909","LABA","Pulsera","TargetVar","S_Nblocks_day_total_IN",0.1978,0.3925,0.0911,NA,NA,NA,-0.4034,0.4127,4e-04,0.5157,0.4127,0,-0.1126,0.4127,0.3395,NA,NA,NA
"910","LABA","Pulsera","TargetVar","S_Nblocks_day_total_LIG",0.1855,0.4719,0.1137,NA,NA,NA,-0.3915,0.4791,6e-04,0.5112,0.4127,0,-0.1216,0.5095,0.3019,NA,NA,NA
"911","LABA","Pulsera","TargetVar","S_Nblocks_day_total_MOD",0.0308,0.2846,0.7945,NA,NA,NA,-0.2209,0.3796,0.0585,0.4085,0.3896,3e-04,-0.2079,0.2604,0.0756,NA,NA,NA
"912","LABA","Pulsera","TargetVar","S_Nblocks_day_total_VIG",-0.0786,0.4662,0.5055,NA,NA,NA,0.0103,0.3859,0.9303,0.1063,0.6116,0.3674,-0.1357,0.4007,0.2489,NA,NA,NA
"913","LABA","Pulsera","TargetVar","S_Nblocks_day_VIG_unbt",0.0233,0.5075,0.8437,NA,NA,NA,-0.1294,0.3487,0.272,0.2306,0.6448,0.0481,-0.1117,0.4744,0.3432,NA,NA,NA
"914","LABA","Pulsera","TargetVar","S_Nblocks_spt_sleep",-0.0404,0.4265,0.7323,NA,NA,NA,0.0786,0.112,0.5055,-0.0975,0.595,0.4086,0.0184,0.6337,0.8762,NA,NA,NA
"915","LABA","Pulsera","TargetVar","S_Nblocks_spt_wake_IN",0.3355,0.4251,0.0035,NA,NA,NA,-0.3186,0.4458,0.0057,0.1161,0.3805,0.3248,0.2489,0.476,0.0325,NA,NA,NA
"916","LABA","Pulsera","TargetVar","S_Nblocks_spt_wake_LIG",0.3243,0.3596,0.0048,NA,NA,NA,-0.2962,0.4127,0.0104,0.0876,0.4178,0.4578,0.2548,0.349,0.0285,NA,NA,NA
"917","LABA","Pulsera","TargetVar","S_Nblocks_spt_wake_MOD",0.2252,0.3088,0.0537,NA,NA,NA,-0.144,0.3033,0.2208,-0.0671,0.4143,0.5702,0.2511,0.3362,0.0309,NA,NA,NA
"918","LABA","Pulsera","TargetVar","S_Nblocks_spt_wake_VIG",0.1515,0.5365,0.1975,NA,NA,NA,-0.2693,0.622,0.0203,0.3127,0.1977,0.0067,-0.0385,0.7308,0.7444,NA,NA,NA
"919","LABA","Pulsera","TargetVar","S_Nbouts_day_IN_bts_1_10",0.2587,0.63,0.026,NA,NA,NA,-0.4499,0.4126,1e-04,0.5134,0.5295,0,-0.0539,0.7399,0.648,NA,NA,NA
"920","LABA","Pulsera","TargetVar","S_Nbouts_day_IN_bts_10_30",0.2106,0.1534,0.0718,NA,NA,NA,-0.2217,0.0717,0.0576,0.118,0.2755,0.3165,0.13,0.3621,0.2698,NA,NA,NA
"921","LABA","Pulsera","TargetVar","S_Nbouts_day_IN_bts_30",-0.5155,0.6735,0,NA,NA,NA,0.4762,0.4444,0,-0.1507,0.9191,0.2001,-0.3984,0.4087,4e-04,NA,NA,NA
"922","LABA","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_1_10",0.1681,0.2973,0.1522,NA,NA,NA,-0.3318,0.3785,0.0039,0.4155,0.4752,2e-04,-0.0825,0.2274,0.4848,NA,NA,NA
"923","LABA","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_10",0.38,0.0447,8e-04,NA,NA,NA,-0.3474,0.1936,0.0024,0.1035,0.0328,0.3801,0.2981,0.1507,0.0099,NA,NA,NA
"924","LABA","Pulsera","TargetVar","S_Nbouts_day_MVPA_bts_1",-0.1289,0.2221,0.2739,NA,NA,NA,5e-04,0.3117,0.9967,0.2084,0.4131,0.0748,-0.2423,0.1802,0.0376,NA,NA,NA
"925","LABA","Pulsera","TargetVar","S_night_number",-0.0471,0.9652,0.6902,NA,NA,NA,-0.1081,0.5119,0.3595,0.3008,0.922,0.0092,-0.2188,0.9838,0.0611,NA,NA,NA
"927","LABA","Pulsera","TargetVar","S_nonwear_perc_day_spt",0.256,0.181,0.0277,NA,NA,NA,-0.3109,0.5004,0.007,0.2294,0.0276,0.0493,0.1082,0.5111,0.3588,NA,NA,NA
"928","LABA","Pulsera","TargetVar","S_nonwear_perc_spt",0.256,0.181,0.0277,NA,NA,NA,-0.3112,0.5004,0.007,0.23,0.0276,0.0487,0.1078,0.5111,0.3605,NA,NA,NA
"929","LABA","Pulsera","TargetVar","S_quantile_mostactive30min_mg",0.0203,0.4382,0.8638,NA,NA,NA,-0.185,0.4453,0.1146,0.351,0.4453,0.0022,-0.1844,0.4453,0.1158,NA,NA,NA
"930","LABA","Pulsera","TargetVar","S_quantile_mostactive60min_mg",0.0073,0.4382,0.9511,NA,NA,NA,-0.1808,0.4453,0.1231,0.3635,0.4453,0.0015,-0.2039,0.4453,0.0814,NA,NA,NA
"931","LABA","Pulsera","TargetVar","S_sleep_efficiency",-0.4087,0.4382,3e-04,NA,NA,NA,0.4472,0.4453,1e-04,-0.2641,0.4453,0.023,-0.232,0.4453,0.0467,NA,NA,NA
"933","LABA","Pulsera","TargetVar","S_sleeponset",-0.2065,0.4382,0.0775,NA,NA,NA,0.3518,0.4453,0.0021,-0.3946,0.4453,5e-04,0.0342,0.4453,0.7721,NA,NA,NA
"934","LABA","Pulsera","TargetVar","S_wakeup",-0.266,0.4382,0.022,NA,NA,NA,0.3059,0.4453,0.008,-0.2027,0.4453,0.0833,-0.1331,0.4453,0.2582,NA,NA,NA
"935","LABA","Pulsera","TargetVar","S_week",0.58,0,0,NA,NA,NA,-0.8511,0,0,0.8562,0,0,-0.0181,0,0.8577,NA,NA,NA
"936","LABA","Pulsera","TargetVar","S_window_number",-0.001,0.9746,0.993,NA,NA,NA,-0.129,0.8499,0.2734,0.2694,0.8716,0.0203,-0.1572,0.9612,0.1811,NA,NA,NA
"938","MAPI","Diario","TargetVar","D_animus",0.4387,0,0,0.0739,0.7526,0.4129,-0.5165,0,0,0.5101,0,0,NA,NA,NA,NA,NA,NA
"939","MAPI","Diario","TargetVar","D_anxiety",-0.0253,0.795,0.7792,-0.0883,0.6024,0.3272,0.0916,0.5806,0.3099,-0.0616,0.758,0.4948,NA,NA,NA,NA,NA,NA
"940","MAPI","Diario","TargetVar","D_caffeine",0.3241,0.0034,2e-04,0.1031,0.9276,0.2526,-0.4172,0,0,0.3954,1e-04,0,NA,NA,NA,NA,NA,NA
"941","MAPI","Diario","TargetVar","D_concentration",0.5748,0,0,0.1162,0.0024,0.1967,-0.6911,0,0,0.6758,0,0,NA,NA,NA,NA,NA,NA
"943","MAPI","Diario","TargetVar","D_irritability",0.5828,0,0,0.0541,0.5424,0.5488,-0.6539,0,0,0.6609,0,0,NA,NA,NA,NA,NA,NA
"944","MAPI","Diario","TargetVar","D_motivation",0.3356,0.0023,1e-04,-0.0064,0.8139,0.9437,-0.349,5e-04,1e-04,0.3662,2e-04,0,NA,NA,NA,NA,NA,NA
